Date,AMZN_P,BABA_P,WMT_P,AAPL_P,JD_P,AMZN_V,BABA_V,WMT_V,AAPL_V,JD_V
2020-12-08,3177.290039,266.0899963,147.1649628,123.7983398,82.01000214,3286300,9447700,6905500,82225500,16316700
2020-12-09,3104.199951,263.7999878,146.0029907,121.210495,81.81999969,4100800,9060700,6713200,115089200,11117800
2020-12-10,3101.48999,264.8699951,145.3210602,122.6636658,81.70999908,3030200,10290300,6884100,81312200,9952300
2020-12-11,3116.419922,264.5400085,145.2815399,121.8375549,82.61000061,3064700,7771300,5620300,86939800,13942900
2020-12-14,3156.969971,256.0299988,143.9473114,121.210495,79.95999908,4155800,18369900,8362700,79184500,12966200
2020-12-15,3165.120117,255.1100006,143.8781281,127.2819672,79.5,3319500,16595600,10623800,157243700,8454400
2020-12-16,3240.959961,261.8900146,143.7298889,127.2122955,81.76999664,4427600,15804800,8550300,98208600,8962400
2020-12-17,3236.080078,264.4299927,144.3920746,128.0981293,82.70999908,3474300,14306600,10226500,94359800,9031700
2020-12-18,3201.649902,260,144.2438049,126.0676804,81.52999878,5995700,15981800,13794700,192541500,9813400
2020-12-21,3206.179932,260.4299927,144.2635803,127.6303329,80.63999939,3836800,10901800,8517700,121251600,8246200
2020-12-22,3206.52002,255.8300018,142.5142517,131.2632599,82.79000092,2369400,11468400,12533000,168904800,7771500
2020-12-23,3185.27002,256.1799927,141.5457153,130.3475647,85.45999908,2093800,10729200,6810200,88223700,13241500
2020-12-24,3172.689941,222,141.822464,131.352829,84.48999786,1451900,141830000,3018200,54930100,12164400
2020-12-28,3283.959961,222.3600006,143.5223389,136.0507813,81.61000061,5686800,73512100,6448300,124486200,9496400
2020-12-29,3322,236.2599945,142.6130829,134.2392731,86.13999939,4872900,69715900,5979400,121047300,9689700
2020-12-30,3285.850098,238.3899994,142.4944916,133.0946655,89.51999664,3209300,44812300,6250400,96452100,12057100
2020-12-31,3256.929932,232.7299957,142.4648438,132.0694733,87.90000153,2957200,23451800,5938000,99116600,7729800
2021-01-04,3186.629883,227.8500061,144.8170319,128.8048096,86.33000183,4411400,24897900,10727400,143301900,9204200
2021-01-05,3218.51001,240.3999939,144.0461426,130.3973236,95.5,2655500,35823800,8832700,97664900,31011800
2021-01-06,3138.379883,227.6100006,144.9455109,126.0079575,88.18000031,4394800,37146100,7306300,155088000,21751400
2021-01-07,3162.159912,226.8999939,144.9356232,130.3077545,87.91999817,3514500,49361800,6846000,109578200,17070200
2021-01-08,3182.699951,236.1900024,144.915863,131.4324646,91.54000092,3537700,34884900,8159400,105158200,13007400
2021-01-11,3114.209961,227.3699951,145.5681458,128.3768158,90.37999725,3683400,23036900,8754800,100384500,6956100
2021-01-12,3120.830078,225.6000061,147.2285004,128.1976624,88.54000092,3514600,18969900,7791100,91951100,9979900
2021-01-13,3165.889893,235.3000031,145.7262878,130.2778931,90.44000244,3321200,38805100,5356500,88636800,7282400
2021-01-14,3127.469971,242.9799957,145.2518768,128.3071594,89.23999786,3070900,31381600,7672400,90221800,8053100
2021-01-15,3104.25,243.4600067,142.9491272,126.5454254,87.76999664,4244000,21561600,11973500,111598500,8862500
2021-01-19,3120.76001,251.6499939,141.7137299,127.2322006,91.15000153,3305100,23681900,8041200,90757300,10805200
2021-01-20,3263.379883,265.4899902,143.8089447,131.4125671,95.30999756,5309800,44640800,7925200,104319500,15501600
2021-01-21,3306.98999,260,143.1566772,136.2299347,95.09999847,4936100,20709900,4775300,120150900,7342400
2021-01-22,3292.22998,258.6199951,144.6193695,138.419632,94.91000366,2821900,13518200,6406500,114459400,6948400
